ENSG00000000003	TSPAN6
ENSG00000128394	APOBEC3F
ENSG00000128408	RIBC2
ENSG00000128463	EMC4
ENSG00000128482	RNF112
ENSG00000128487	SPECC1
ENSG00000128510	CPA4
ENSG00000128512	DOCK4
ENSG00000128513	POT1
ENSG00000128524	ATP6V1F
ENSG00000128534	LSM8
ENSG00000128536	CDHR3
ENSG00000128563	PRKRIP1
ENSG00000128564	VGF
ENSG00000128567	PODXL
ENSG00000128573	FOXP2
ENSG00000128578	STRIP2
ENSG00000128581	IFT22
ENSG00000128585	MKLN1
ENSG00000128590	DNAJB9
ENSG00000128591	FLNC
ENSG00000128594	LRRC4
ENSG00000128595	CALU
ENSG00000128596	CCDC136
ENSG00000128602	SMO
ENSG00000128604	IRF5
ENSG00000128606	LRRC17
ENSG00000128607	KLHDC10
ENSG00000128609	NDUFA5
ENSG00000128617	OPN1SW
ENSG00000128626	MRPS12
ENSG00000128641	MYO1B
ENSG00000128645	HOXD1
ENSG00000128654	MTX2
ENSG00000128655	PDE11A
ENSG00000128656	CHN1
ENSG00000128683	GAD1
ENSG00000128692	EIF2S2P4
ENSG00000128694	OSGEPL1
ENSG00000128699	ORMDL1
ENSG00000128708	HAT1
ENSG00000128731	HERC2
ENSG00000128739	SNRPN
ENSG00000128789	PSMG2
ENSG00000128791	TWSG1
ENSG00000128805	ARHGAP22
ENSG00000128815	WDFY4
ENSG00000128829	EIF2AK4
ENSG00000128833	MYO5C
ENSG00000128849	CGNL1
ENSG00000128872	TMOD2
ENSG00000128881	TTBK2
ENSG00000128886	ELL3
ENSG00000128891	CCDC32
ENSG00000128908	INO80
ENSG00000128915	ICE2
ENSG00000128918	ALDH1A2
ENSG00000128923	MINDY2
ENSG00000128928	IVD
ENSG00000128944	KNSTRN
ENSG00000128951	DUT
ENSG00000128973	CLN6
ENSG00000128989	ARPP19
ENSG00000129003	VPS13C
ENSG00000129007	CALML4
ENSG00000129028	THAP10
ENSG00000129038	LOXL1
ENSG00000129048	ACKR4
ENSG00000129055	ANAPC13
ENSG00000129071	MBD4
ENSG00000129083	COPB1
ENSG00000129084	PSMA1
ENSG00000129103	SUMF2
ENSG00000129116	PALLD
ENSG00000129128	SPCS3
ENSG00000129158	SERGEF
ENSG00000129159	KCNC1
ENSG00000129167	TPH1
ENSG00000129173	E2F8
ENSG00000129187	DCTD
ENSG00000129194	SOX15
ENSG00000129195	PIMREG
ENSG00000129197	RPAIN
ENSG00000129204	USP6
ENSG00000129214	SHBG
ENSG00000129219	PLD2
ENSG00000129226	CD68
ENSG00000129235	TXNDC17
ENSG00000129244	ATP1B2
ENSG00000129245	FXR2
ENSG00000129250	KIF1C
ENSG00000129255	MPDU1
ENSG00000129292	PHF20L1
ENSG00000129295	LRRC6
ENSG00000129315	CCNT1
ENSG00000129317	PUS7L
ENSG00000129347	KRI1
ENSG00000129351	ILF3
ENSG00000129353	SLC44A2
ENSG00000129354	AP1M2
ENSG00000129355	CDKN2D
ENSG00000129422	MTUS1
ENSG00000129437	KLK14
ENSG00000129450	SIGLEC9
ENSG00000129451	KLK10
ENSG00000129460	NGDN
ENSG00000129465	RIPK3
ENSG00000129467	ADCY4
ENSG00000129472	RAB2B
ENSG00000129473	BCL2L2
ENSG00000129474	AJUBA
ENSG00000129480	DTD2
ENSG00000129484	PARP2
ENSG00000129493	HEATR5A
ENSG00000129514	FOXA1
ENSG00000129515	SNX6
ENSG00000129518	EAPP
ENSG00000129521	EGLN3
ENSG00000129534	MIS18BP1
ENSG00000129535	NRL
ENSG00000129538	RNASE1
ENSG00000129559	NEDD8
ENSG00000129562	DAD1
ENSG00000129566	TEP1
ENSG00000129595	EPB41L4A
ENSG00000129596	CDO1
ENSG00000129625	REEP5
ENSG00000129636	ITFG1
ENSG00000129646	QRICH2
ENSG00000129654	FOXJ1
ENSG00000129657	SEC14L1
ENSG00000129667	RHBDF2
ENSG00000129673	AANAT
ENSG00000129675	ARHGEF6
ENSG00000129680	MAP7D3
ENSG00000129682	FGF13
ENSG00000129691	ASH2L
ENSG00000129696	TTI2
ENSG00000129749	CHRNA10
ENSG00000129757	CDKN1C
ENSG00000129810	SGO1
ENSG00000129824	RPS4Y1
ENSG00000129910	CDH15
ENSG00000129911	KLF16
ENSG00000129925	TMEM8A
ENSG00000129932	DOHH
ENSG00000129933	MAU2
ENSG00000129951	PLPPR3
ENSG00000129968	ABHD17A
ENSG00000129990	SYT5
ENSG00000129993	CBFA2T3
ENSG00000130005	GAMT
ENSG00000130021	PUDP
ENSG00000130023	ERMARD
ENSG00000130024	PHF10
ENSG00000130032	PRRG3
ENSG00000130035	GALNT8
ENSG00000130037	KCNA5
ENSG00000130038	CRACR2A
ENSG00000130052	STARD8
ENSG00000130054	FAM155B
ENSG00000130066	SAT1
ENSG00000130119	GNL3L
ENSG00000130147	SH3BP4
ENSG00000130150	MOSPD2
ENSG00000130158	DOCK6
ENSG00000130159	ECSIT
ENSG00000130164	LDLR
ENSG00000130165	ELOF1
ENSG00000130167	TSPAN16
ENSG00000130175	PRKCSH
ENSG00000130176	CNN1
ENSG00000130177	CDC16
ENSG00000130193	THEM6
ENSG00000130202	NECTIN2
ENSG00000130203	APOE
ENSG00000130204	TOMM40
ENSG00000130208	APOC1
ENSG00000130222	GADD45G
ENSG00000130227	XPO7
ENSG00000130234	ACE2
ENSG00000130244	FAM98C
ENSG00000130254	SAFB2
ENSG00000130255	RPL36
ENSG00000130270	ATP8B3
ENSG00000130294	KIF1A
ENSG00000130299	GTPBP3
ENSG00000130300	PLVAP
ENSG00000130303	BST2
ENSG00000130304	SLC27A1
ENSG00000130305	NSUN5
ENSG00000130307	USHBP1
ENSG00000130309	COLGALT1
ENSG00000130311	DDA1
ENSG00000130312	MRPL34
ENSG00000130313	PGLS
ENSG00000130332	LSM7
ENSG00000130338	TULP4
ENSG00000130340	SNX9
ENSG00000130347	RTN4IP1
ENSG00000130348	QRSL1
ENSG00000130349	C6orf203
ENSG00000130363	RSPH3
ENSG00000130368	MAS1
ENSG00000130382	MLLT1
ENSG00000130396	AFDN
ENSG00000130402	ACTN4
ENSG00000130413	STK33
ENSG00000130414	NDUFA10
ENSG00000130429	ARPC1B
ENSG00000130449	ZSWIM6
ENSG00000130475	FCHO1
ENSG00000130477	UNC13A
ENSG00000130479	MAP1S
ENSG00000130487	KLHDC7B
ENSG00000130489	SCO2
ENSG00000130508	PXDN
ENSG00000130511	SSBP4
ENSG00000130513	GDF15
ENSG00000130517	PGPEP1
ENSG00000130518	IQCN
ENSG00000130520	LSM4
ENSG00000130522	JUND
ENSG00000130529	TRPM4
ENSG00000130544	ZNF557
ENSG00000130545	CRB3
ENSG00000130558	OLFM1
ENSG00000130559	CAMSAP1
ENSG00000130560	UBAC1
ENSG00000130561	SAG
ENSG00000130584	ZBTB46
ENSG00000130589	HELZ2
ENSG00000130590	SAMD10
ENSG00000130592	LSP1
ENSG00000130595	TNNT3
ENSG00000130598	TNNI2
ENSG00000130600	H19
ENSG00000130612	CYP2G1P
ENSG00000130635	COL5A1
ENSG00000130638	ATXN10
ENSG00000130640	TUBGCP2
ENSG00000130643	CALY
ENSG00000130649	CYP2E1
ENSG00000130653	PNPLA7
ENSG00000130669	PAK4
ENSG00000130675	MNX1
ENSG00000130684	ZNF337
ENSG00000130695	CEP85
ENSG00000130699	TAF4
ENSG00000130700	GATA5
ENSG00000130701	RBBP8NL
ENSG00000130702	LAMA5
ENSG00000130703	OSBPL2
ENSG00000130706	ADRM1
ENSG00000130707	ASS1
ENSG00000130711	PRDM12
ENSG00000130713	EXOSC2
ENSG00000130714	POMT1
ENSG00000130717	UCK1
ENSG00000130723	PRRC2B
ENSG00000130724	CHMP2A
ENSG00000130725	UBE2M
ENSG00000130726	TRIM28
ENSG00000130731	METTL26
ENSG00000130733	YIPF2
ENSG00000130734	ATG4D
ENSG00000130741	EIF2S3
ENSG00000130748	TMEM160
ENSG00000130749	ZC3H4
ENSG00000130751	NPAS1
ENSG00000130755	GMFG
ENSG00000130758	MAP3K10
ENSG00000130762	ARHGEF16
ENSG00000130764	LRRC47
ENSG00000130766	SESN2
ENSG00000130768	SMPDL3B
ENSG00000130770	ATP5IF1
ENSG00000130772	MED18
ENSG00000130775	THEMIS2
ENSG00000130779	CLIP1
ENSG00000130783	CCDC62
ENSG00000130787	HIP1R
ENSG00000130803	ZNF317
ENSG00000130810	PPAN
ENSG00000130811	EIF3G
ENSG00000130812	ANGPTL6
ENSG00000130813	C19orf66
ENSG00000130816	DNMT1
ENSG00000130818	ZNF426
ENSG00000130821	SLC6A8
ENSG00000130826	DKC1
ENSG00000130827	PLXNA3
ENSG00000130830	MPP1
ENSG00000130844	ZNF331
ENSG00000130856	ZNF236
ENSG00000130881	LRP3
ENSG00000130921	C12orf65
ENSG00000130935	NOL11
ENSG00000130939	UBE4B
ENSG00000130940	CASZ1
ENSG00000130956	HABP4
ENSG00000130958	SLC35D2
ENSG00000130962	PRRG1
ENSG00000130985	UBA1
ENSG00000130997	POLN
ENSG00000131013	PPIL4
ENSG00000131015	ULBP2
ENSG00000131016	AKAP12
ENSG00000131018	SYNE1
ENSG00000131019	ULBP3
ENSG00000131023	LATS1
ENSG00000131037	EPS8L1
ENSG00000131042	LILRB2
ENSG00000131043	AAR2
ENSG00000131044	TTLL9
ENSG00000131051	RBM39
ENSG00000131059	BPIFA3
ENSG00000131061	ZNF341
ENSG00000131067	GGT7
ENSG00000131069	ACSS2
ENSG00000131080	EDA2R
ENSG00000131089	ARHGEF9
ENSG00000131094	C1QL1
ENSG00000131096	PYY
ENSG00000131097	HIGD1B
ENSG00000131100	ATP6V1E1
ENSG00000131115	ZNF227
ENSG00000131116	ZNF428
ENSG00000131127	ZNF141
ENSG00000131142	CCL25
ENSG00000131143	COX4I1
ENSG00000131148	EMC8
ENSG00000131149	GSE1
ENSG00000131153	GINS2
ENSG00000131165	CHMP1A
ENSG00000131171	SH3BGRL
ENSG00000131174	COX7B
ENSG00000131183	SLC34A1
ENSG00000131187	F12
ENSG00000131188	PRR7
ENSG00000131196	NFATC1
ENSG00000131203	IDO1
ENSG00000131236	CAP1
ENSG00000131238	PPT1
ENSG00000131242	RAB11FIP4
ENSG00000131263	RLIM
ENSG00000131269	ABCB7
ENSG00000131323	TRAF3
ENSG00000131351	HAUS8
ENSG00000131355	ADGRE3
ENSG00000131368	MRPS25
ENSG00000131370	SH3BP5
ENSG00000131373	HACL1
ENSG00000131374	TBC1D5
ENSG00000131375	CAPN7
ENSG00000131378	RFTN1
ENSG00000131379	C3orf20
ENSG00000131381	RBSN
ENSG00000131389	SLC6A6
ENSG00000131398	KCNC3
ENSG00000131400	NAPSA
ENSG00000131401	NAPSB
ENSG00000131408	NR1H2
ENSG00000131435	PDLIM4
ENSG00000131437	KIF3A
ENSG00000131446	MGAT1
ENSG00000131459	GFPT2
ENSG00000131462	TUBG1
ENSG00000131467	PSME3
ENSG00000131469	RPL27
ENSG00000131470	PSMC3IP
ENSG00000131471	AOC3
ENSG00000131473	ACLY
ENSG00000131475	VPS25
ENSG00000131477	RAMP2
ENSG00000131480	AOC2
ENSG00000131495	NDUFA2
ENSG00000131503	ANKHD1
ENSG00000131504	DIAPH1
ENSG00000131507	NDFIP1
ENSG00000131508	UBE2D2
ENSG00000131558	EXOC4
ENSG00000131584	ACAP3
ENSG00000131591	C1orf159
ENSG00000131620	ANO1
ENSG00000131626	PPFIA1
ENSG00000131634	TMEM204
ENSG00000131650	KREMEN2
ENSG00000131652	THOC6
ENSG00000131653	TRAF7
ENSG00000131668	BARX1
ENSG00000131669	NINJ1
ENSG00000131686	CA6
ENSG00000131697	NPHP4
ENSG00000131711	MAP1B
ENSG00000131724	IL13RA1
ENSG00000131725	WDR44
ENSG00000131730	CKMT2
ENSG00000131732	ZCCHC9
ENSG00000131746	TNS4
ENSG00000131747	TOP2A
ENSG00000131748	STARD3
ENSG00000131759	RARA
ENSG00000131773	KHDRBS3
ENSG00000131778	CHD1L
ENSG00000131779	PEX11B
ENSG00000131781	FMO5
ENSG00000131788	PIAS3
ENSG00000131791	PRKAB2
ENSG00000131797	CLUHP3
ENSG00000131828	PDHA1
ENSG00000131844	MCCC2
ENSG00000131845	ZNF304
ENSG00000131848	ZSCAN5A
ENSG00000131849	ZNF132
ENSG00000131871	SELENOS
ENSG00000131873	CHSY1
ENSG00000131876	SNRPA1
ENSG00000131899	LLGL1
ENSG00000131931	THAP1
ENSG00000131941	RHPN2
ENSG00000131943	C19orf12
ENSG00000131944	FAAP24
ENSG00000131951	LRRC9
ENSG00000131966	ACTR10
ENSG00000131979	GCH1
ENSG00000131981	LGALS3
ENSG00000132000	PODNL1
ENSG00000132002	DNAJB1
ENSG00000132003	ZSWIM4
ENSG00000132004	FBXW9
ENSG00000132005	RFX1
ENSG00000132010	ZNF20
ENSG00000132016	C19orf57
ENSG00000132017	DCAF15
ENSG00000132024	CC2D1A
ENSG00000132109	TRIM21
ENSG00000132122	SPATA6
ENSG00000132128	LRRC41
ENSG00000132141	CCT6B
ENSG00000132153	DHX30
ENSG00000132155	RAF1
ENSG00000132170	PPARG
ENSG00000132182	NUP210
ENSG00000132185	FCRLA
ENSG00000132196	HSD17B7
ENSG00000132199	ENOSF1
ENSG00000132204	LINC00470
ENSG00000132205	EMILIN2
ENSG00000132254	ARFIP2
ENSG00000132256	TRIM5
ENSG00000132274	TRIM22
ENSG00000132275	RRP8
ENSG00000132286	TIMM10B
ENSG00000132294	EFR3A
ENSG00000132300	PTCD3
ENSG00000132305	IMMT
ENSG00000132313	MRPL35
ENSG00000132321	IQCA1
ENSG00000132323	ILKAP
ENSG00000132326	PER2
ENSG00000132329	RAMP1
ENSG00000132330	SCLY
ENSG00000132334	PTPRE
ENSG00000132341	RAN
ENSG00000132356	PRKAA1
ENSG00000132357	CARD6
ENSG00000132359	RAP1GAP2
ENSG00000132361	CLUH
ENSG00000132376	INPP5K
ENSG00000132382	MYBBP1A
ENSG00000132383	RPA1
ENSG00000132386	SERPINF1
ENSG00000132388	UBE2G1
ENSG00000132394	EEFSEC
ENSG00000132405	TBC1D14
ENSG00000132406	TMEM128
ENSG00000132423	COQ3
ENSG00000132424	PNISR
ENSG00000132432	SEC61G
ENSG00000132434	LANCL2
ENSG00000132436	FIGNL1
ENSG00000132463	GRSF1
ENSG00000132464	ENAM
ENSG00000132465	JCHAIN
ENSG00000132466	ANKRD17
ENSG00000132467	UTP3
ENSG00000132470	ITGB4
ENSG00000132471	WBP2
ENSG00000132475	H3F3B
ENSG00000132478	UNK
ENSG00000132481	TRIM47
ENSG00000132485	ZRANB2
ENSG00000132507	EIF5A
ENSG00000132510	KDM6B
ENSG00000132514	CLEC10A
ENSG00000132517	SLC52A1
ENSG00000132518	GUCY2D
ENSG00000132522	GPS2
ENSG00000132530	XAF1
ENSG00000132535	DLG4
ENSG00000132541	RIDA
ENSG00000132549	VPS13B
ENSG00000132561	MATN2
ENSG00000132563	REEP2
ENSG00000132570	PCBD2
ENSG00000132581	SDF2
ENSG00000132589	FLOT2
ENSG00000132591	ERAL1
ENSG00000132600	PRMT7
ENSG00000132603	NIP7
ENSG00000132604	TERF2
ENSG00000132612	VPS4A
ENSG00000132613	MTSS1L
ENSG00000132622	HSPA12B
ENSG00000132623	ANKEF1
ENSG00000132635	PCED1A
ENSG00000132640	BTBD3
ENSG00000132646	PCNA
ENSG00000132661	NXT1
ENSG00000132664	POLR3F
ENSG00000132669	RIN2
ENSG00000132670	PTPRA
ENSG00000132676	DAP3
ENSG00000132680	KHDC4
ENSG00000132681	ATP1A4
ENSG00000132688	NES
ENSG00000132692	BCAN
ENSG00000132693	CRP
ENSG00000132694	ARHGEF11
ENSG00000132698	RAB25
ENSG00000132716	DCAF8
ENSG00000132718	SYT11
ENSG00000132740	IGHMBP2
ENSG00000132744	ACY3
ENSG00000132749	TESMIN
ENSG00000132763	MMACHC
ENSG00000132768	DPH2
ENSG00000132773	TOE1
ENSG00000132780	NASP
ENSG00000132781	MUTYH
ENSG00000132792	CTNNBL1
ENSG00000132801	ZSWIM3
ENSG00000132819	RBM38
ENSG00000132821	VSTM2L
ENSG00000132823	OSER1
ENSG00000132824	SERINC3
ENSG00000132825	PPP1R3D
ENSG00000132832	AL139352.1
ENSG00000132837	DMGDH
ENSG00000132842	AP3B1
ENSG00000132846	ZBED3
ENSG00000132849	PATJ
ENSG00000132874	SLC14A2
ENSG00000132879	FBXO44
ENSG00000132881	RSG1
ENSG00000132906	CASP9
ENSG00000132911	NMUR2
ENSG00000132912	DCTN4
ENSG00000132932	ATP8A2
ENSG00000132938	MTUS2
ENSG00000132950	ZMYM5
ENSG00000132952	USPL1
ENSG00000132953	XPO4
ENSG00000132963	POMP
ENSG00000132964	CDK8
ENSG00000132965	ALOX5AP
ENSG00000132967	HMGB1P5
ENSG00000132970	WASF3
ENSG00000132972	RNF17
ENSG00000133019	CHRM3
ENSG00000133026	MYH10
ENSG00000133027	PEMT
ENSG00000133028	SCO1
ENSG00000133030	MPRIP
ENSG00000133048	CHI3L1
ENSG00000133056	PIK3C2B
ENSG00000133059	DSTYK
ENSG00000133063	CHIT1
ENSG00000133065	SLC41A1
ENSG00000133067	LGR6
ENSG00000133069	TMCC2
ENSG00000133083	DCLK1
ENSG00000133101	CCNA1
ENSG00000133103	COG6
ENSG00000133104	SPART
ENSG00000133106	EPSTI1
ENSG00000133110	POSTN
ENSG00000133111	RFXAP
ENSG00000133112	TPT1
ENSG00000133114	GPALPP1
ENSG00000133116	KL
ENSG00000133119	RFC3
ENSG00000133121	STARD13
ENSG00000133131	MORC4
ENSG00000133134	BEX2
ENSG00000133136	GNG5P2
ENSG00000133138	TBC1D8B
ENSG00000133142	TCEAL4
ENSG00000133169	BEX1
ENSG00000133193	FAM104A
ENSG00000133195	SLC39A11
ENSG00000133216	EPHB2
ENSG00000133226	SRRM1
ENSG00000133243	BTBD2
ENSG00000133246	PRAM1
ENSG00000133247	KMT5C
ENSG00000133250	ZNF414
ENSG00000133256	PDE6B
ENSG00000133265	HSPBP1
ENSG00000133275	CSNK1G2
ENSG00000133302	SLF1
ENSG00000133313	CNDP2
ENSG00000133315	MACROD1
ENSG00000133316	WDR74
ENSG00000133317	LGALS12
ENSG00000133318	RTN3
ENSG00000133321	RARRES3
ENSG00000133328	HRASLS2
ENSG00000133392	MYH11
ENSG00000133393	FOPNL
ENSG00000133398	MED10
ENSG00000133401	PDZD2
ENSG00000133422	MORC2
ENSG00000133454	MYO18B
ENSG00000133460	SLC2A11
ENSG00000133466	C1QTNF6
ENSG00000133477	FAM83F
ENSG00000133561	GIMAP6
ENSG00000133574	GIMAP4
ENSG00000133597	ADCK2
ENSG00000133606	MKRN1
ENSG00000133612	AGAP3
ENSG00000133619	KRBA1
ENSG00000133624	ZNF767P
ENSG00000133627	ACTR3B
ENSG00000133639	BTG1
ENSG00000133640	LRRIQ1
ENSG00000133641	C12orf29
ENSG00000133657	ATP13A3
ENSG00000133661	SFTPD
ENSG00000133678	TMEM254
ENSG00000133687	TMTC1
ENSG00000133703	KRAS
ENSG00000133704	IPO8
ENSG00000133706	LARS
ENSG00000133731	IMPA1
ENSG00000133739	LRRCC1
ENSG00000133740	E2F5
ENSG00000133773	CCDC59
ENSG00000133789	SWAP70
ENSG00000133794	ARNTL
ENSG00000133800	LYVE1
ENSG00000133805	AMPD3
ENSG00000133812	SBF2
ENSG00000133816	MICAL2
ENSG00000133818	RRAS2
ENSG00000133835	HSD17B4
ENSG00000133858	ZFC3H1
ENSG00000133872	SARAF
ENSG00000133874	RNF122
ENSG00000133884	DPF2
ENSG00000133895	MEN1
ENSG00000133935	ERG28
ENSG00000133937	GSC
ENSG00000133943	DGLUCY
ENSG00000133958	UNC79
ENSG00000133961	NUMB
ENSG00000133962	CATSPERB
ENSG00000133980	VRTN
ENSG00000133983	COX16
ENSG00000133985	TTC9
ENSG00000133997	MED6
ENSG00000134001	EIF2S1
ENSG00000134013	LOXL2
ENSG00000134014	ELP3
ENSG00000134020	PEBP4
ENSG00000134028	ADAMDEC1
ENSG00000134030	CTIF
ENSG00000134042	MRO
ENSG00000134046	MBD2
ENSG00000134049	IER3IP1
ENSG00000134056	MRPS36
ENSG00000134057	CCNB1
ENSG00000134058	CDK7
ENSG00000134061	CD180
ENSG00000134070	IRAK2
ENSG00000134072	CAMK1
ENSG00000134077	THUMPD3
ENSG00000134086	VHL
ENSG00000134107	BHLHE40
ENSG00000134108	ARL8B
ENSG00000134109	EDEM1
ENSG00000134138	MEIS2
ENSG00000134146	DPH6
ENSG00000134152	KATNBL1
ENSG00000134153	EMC7
ENSG00000134160	TRPM1
ENSG00000134183	GNAT2
ENSG00000134184	GSTM1
ENSG00000134186	PRPF38B
ENSG00000134193	REG4
ENSG00000134198	TSPAN2
ENSG00000134201	GSTM5
ENSG00000134202	GSTM3
ENSG00000134207	SYT6
ENSG00000134215	VAV3
ENSG00000134222	PSRC1
ENSG00000134242	PTPN22
ENSG00000134243	SORT1
ENSG00000134245	WNT2B
ENSG00000134247	PTGFRN
ENSG00000134248	LAMTOR5
ENSG00000134249	ADAM30
ENSG00000134250	NOTCH2
ENSG00000134253	TRIM45
ENSG00000134255	CEPT1
ENSG00000134256	CD101
ENSG00000134262	AP4B1
ENSG00000134265	NAPG
ENSG00000134278	SPIRE1
ENSG00000134283	PPHLN1
ENSG00000134285	FKBP11
ENSG00000134287	ARF3
ENSG00000134291	TMEM106C
ENSG00000134294	SLC38A2
ENSG00000134297	PLEKHA8P1
ENSG00000134308	YWHAQ
ENSG00000134313	KIDINS220
ENSG00000134317	GRHL1
ENSG00000134318	ROCK2
ENSG00000134321	RSAD2
ENSG00000134323	MYCN
ENSG00000134324	LPIN1
ENSG00000134326	CMPK2
ENSG00000134330	IAH1
ENSG00000134333	LDHA
ENSG00000134339	SAA2
ENSG00000134352	IL6ST
ENSG00000134363	FST
ENSG00000134369	NAV1
ENSG00000134371	CDC73
ENSG00000134375	TIMM17A
ENSG00000134376	CRB1
ENSG00000134398	ERN2
ENSG00000134419	RPS15A
ENSG00000134438	RAX
ENSG00000134440	NARS
ENSG00000134444	KIAA1468
ENSG00000134452	FBXO18
ENSG00000134453	RBM17
ENSG00000134460	IL2RA
ENSG00000134461	ANKRD16
ENSG00000134463	ECHDC3
ENSG00000134470	IL15RA
ENSG00000134480	CCNH
ENSG00000134489	HRH4
ENSG00000134490	TMEM241
ENSG00000134504	KCTD1
ENSG00000134508	CABLES1
ENSG00000134516	DOCK2
ENSG00000134531	EMP1
ENSG00000134532	SOX5
ENSG00000134539	KLRD1
ENSG00000134545	KLRC1
ENSG00000134548	SPX
ENSG00000134569	LRP4
ENSG00000134571	MYBPC3
ENSG00000134574	DDB2
ENSG00000134575	ACP2
ENSG00000134588	USP26
ENSG00000134590	RTL8C
ENSG00000134594	RAB33A
ENSG00000134597	RBMX2
ENSG00000134602	STK26
ENSG00000134627	PIWIL4
ENSG00000134644	PUM1
ENSG00000134684	YARS
ENSG00000134686	PHC2
ENSG00000134690	CDCA8
ENSG00000134697	GNL2
ENSG00000134698	AGO4
ENSG00000134709	HOOK1
ENSG00000134716	CYP2J2
ENSG00000134717	BTF3L4
ENSG00000134744	ZCCHC11
ENSG00000134748	PRPF38A
ENSG00000134755	DSC2
ENSG00000134758	RNF138
ENSG00000134759	ELP2
ENSG00000134762	DSC3
ENSG00000134769	DTNA
ENSG00000134779	TPGS2
ENSG00000134780	DAGLA
ENSG00000134802	SLC43A3
ENSG00000134809	TIMM10
ENSG00000134815	DHX34
ENSG00000134824	FADS2
ENSG00000134825	TMEM258
ENSG00000134827	TCN1
ENSG00000134830	C5AR2
ENSG00000134851	TMEM165
ENSG00000134852	CLOCK
ENSG00000134853	PDGFRA
ENSG00000134864	GGACT
ENSG00000134871	COL4A2
ENSG00000134874	DZIP1
ENSG00000134882	UBAC2
ENSG00000134884	ARGLU1
ENSG00000134897	BIVM
ENSG00000134899	ERCC5
ENSG00000134900	TPP2
ENSG00000134901	KDELC1
ENSG00000134905	CARS2
ENSG00000134909	ARHGAP32
ENSG00000134910	STT3A
ENSG00000134917	ADAMTS8
ENSG00000134954	ETS1
ENSG00000134955	SLC37A2
ENSG00000134962	KLB
ENSG00000134970	TMED7
ENSG00000134982	APC
ENSG00000134986	NREP
ENSG00000134987	WDR36
ENSG00000134996	OSTF1
ENSG00000135002	RFK
ENSG00000135018	UBQLN1
ENSG00000135040	NAA35
ENSG00000135045	C9orf40
ENSG00000135046	ANXA1
ENSG00000135047	CTSL
ENSG00000135048	TMEM2
ENSG00000135049	AGTPBP1
ENSG00000135052	GOLM1
ENSG00000135069	PSAT1
ENSG00000135070	ISCA1
ENSG00000135074	ADAM19
ENSG00000135077	HAVCR2
ENSG00000135083	CCNJL
ENSG00000135090	TAOK3
ENSG00000135093	USP30
ENSG00000135094	SDS
ENSG00000135100	HNF1A
ENSG00000135108	FBXO21
ENSG00000135114	OASL
ENSG00000135119	RNFT2
ENSG00000135124	P2RX4
ENSG00000135127	BICDL1
ENSG00000135148	TRAFD1
ENSG00000135164	DMTF1
ENSG00000135185	TMEM243
ENSG00000135205	CCDC146
ENSG00000135211	TMEM60
ENSG00000135218	CD36
ENSG00000135241	PNPLA8
ENSG00000135245	HILPDA
ENSG00000135248	FAM71F1
ENSG00000135249	RINT1
ENSG00000135250	SRPK2
ENSG00000135253	KCP
ENSG00000135269	TES
ENSG00000135272	MDFIC
ENSG00000135297	MTO1
ENSG00000135299	ANKRD6
ENSG00000135314	KHDC1
ENSG00000135315	CEP162
ENSG00000135316	SYNCRIP
ENSG00000135317	SNX14
ENSG00000135318	NT5E
ENSG00000135334	AKIRIN2
ENSG00000135336	ORC3
ENSG00000135338	LCA5
ENSG00000135341	MAP3K7
ENSG00000135362	PRR5L
ENSG00000135363	LMO2
ENSG00000135365	PHF21A
ENSG00000135372	NAT10
ENSG00000135373	EHF
ENSG00000135378	PRRG4
ENSG00000135387	CAPRIN1
ENSG00000135390	ATP5MC2
ENSG00000135392	DNAJC14
ENSG00000135404	CD63
ENSG00000135406	PRPH
ENSG00000135407	AVIL
ENSG00000135414	GDF11
ENSG00000135423	GLS2
ENSG00000135424	ITGA7
ENSG00000135426	TESPA1
ENSG00000135437	RDH5
ENSG00000135439	AGAP2
ENSG00000135441	BLOC1S1
ENSG00000135443	KRT85
ENSG00000135446	CDK4
ENSG00000135447	PPP1R1A
ENSG00000135451	TROAP
ENSG00000135452	TSPAN31
ENSG00000135454	B4GALNT1
ENSG00000135457	TFCP2
ENSG00000135469	COQ10A
ENSG00000135473	PAN2
ENSG00000135476	ESPL1
ENSG00000135480	KRT7
ENSG00000135482	ZC3H10
ENSG00000135486	HNRNPA1
ENSG00000135503	ACVR1B
ENSG00000135506	OS9
ENSG00000135517	MIP
ENSG00000135519	KCNH3
ENSG00000135521	LTV1
ENSG00000135525	MAP7
ENSG00000135535	CD164
ENSG00000135537	AFG1L
ENSG00000135540	NHSL1
ENSG00000135541	AHI1
ENSG00000135547	HEY2
ENSG00000135549	PKIB
ENSG00000135587	SMPD2
ENSG00000135596	MICAL1
ENSG00000135597	REPS1
ENSG00000135604	STX11
ENSG00000135605	TEC
ENSG00000135617	PRADC1
ENSG00000135622	SEMA4F
ENSG00000135624	CCT7
ENSG00000135625	EGR4
ENSG00000135631	RAB11FIP5
ENSG00000135632	SMYD5
ENSG00000135636	DYSF
ENSG00000135637	CCDC142
ENSG00000135638	EMX1
ENSG00000135643	KCNMB4
ENSG00000135655	USP15
ENSG00000135677	GNS
ENSG00000135678	CPM
ENSG00000135679	MDM2
ENSG00000135686	KLHL36
ENSG00000135698	MPHOSPH6
ENSG00000135709	KIAA0513
ENSG00000135720	DYNC1LI2
ENSG00000135722	FBXL8
